_id,Date,Rain,Temp Max,Temp Min
96,1951-06-04T00:00:00,0,37.38999939,25.20000076
97,1951-07-04T00:00:00,0,36.97999954,24.48999977
98,1951-08-04T00:00:00,0,37.79000092,24.79000092
99,1951-09-04T00:00:00,0,37.81999969,23.95999908
100,1951-10-04T00:00:00,0,37.70999908,23.54999924
101,1951-11-04T00:00:00,0,36.90000153,24.70000076
102,1951-12-04T00:00:00,0,36.43000031,22.72999954
103,1951-04-13T00:00:00,0,35.09000015,24.03000069
104,1951-04-14T00:00:00,0,35.88999939,24.52000046
105,1951-04-15T00:00:00,0,35.81000137,24.23999977
106,1951-04-16T00:00:00,0,37.54000092,24.04999924
107,1951-04-17T00:00:00,0,38.43000031,23.94000053
108,1951-04-18T00:00:00,0,37.63000107,24.31999969
109,1951-04-19T00:00:00,2.639790535,38.36999893,25.61000061
110,1951-04-20T00:00:00,8.486737251,35.68999863,23.06999969
111,1951-04-21T00:00:00,0,35.06999969,23.77000046
112,1951-04-22T00:00:00,0,37.25,23.94000053
113,1951-04-23T00:00:00,0,37.56999969,24.45000076
114,1951-04-24T00:00:00,0,38.61000061,24.70000076
115,1951-04-25T00:00:00,0,39.11999893,25.62000084
116,1951-04-26T00:00:00,0,38.72999954,26.5
117,1951-04-27T00:00:00,4.928524494,39.02000046,24.34000015
118,1951-04-28T00:00:00,0,38.79999924,25.87999916
119,1951-04-29T00:00:00,0,39.68000031,25.45999908
120,1951-04-30T00:00:00,3.578678131,38.93000031,24.73999977
121,1951-01-05T00:00:00,1.974886179,38.06999969,23.94000053
122,1951-02-05T00:00:00,0,38.54000092,25.95999908
123,1951-03-05T00:00:00,1.771438241,39.11000061,24.44000053
124,1951-04-05T00:00:00,0.501942277,38.36999893,25.30999947
125,1951-05-05T00:00:00,0,38.15000153,25.54999924
126,1951-06-05T00:00:00,0,39.15999985,25.5
127,1951-07-05T00:00:00,0,39.58000183,27.23999977
128,1951-08-05T00:00:00,0,39.81000137,27.25
129,1951-09-05T00:00:00,0,41.49000168,27.20000076
130,1951-10-05T00:00:00,0,41.16999817,27.87999916
131,1951-11-05T00:00:00,0,41.70000076,28.18000031
132,1951-12-05T00:00:00,0,42.09999847,28.02000046
133,1951-05-13T00:00:00,0,39.27999878,27.70000076
134,1951-05-14T00:00:00,0,42.40000153,28.19000053
135,1951-05-15T00:00:00,0,43.00999832,28.77000046
136,1951-05-16T00:00:00,0,42.41999817,28.04999924
137,1951-05-17T00:00:00,0,42.5,28.71999931
138,1951-05-18T00:00:00,1.300790429,41.79000092,24.20999908
139,1951-05-19T00:00:00,0,39.54999924,26.5
140,1951-05-20T00:00:00,0,40.95999908,27.25
141,1951-05-21T00:00:00,0,41.18000031,28.01000023
142,1951-05-22T00:00:00,0,40.90999985,28.26000023
143,1951-05-23T00:00:00,7.146490574,38.56999969,26.13999939
144,1951-05-24T00:00:00,2.662721872,38.72999954,24.44000053
145,1951-05-25T00:00:00,1.9523592,38.38000107,24.39999962
146,1951-05-26T00:00:00,0,38.13000107,25.94000053
147,1951-05-27T00:00:00,0.868352175,38.40999985,26.29999924
148,1951-05-28T00:00:00,2.198613644,37.74000168,27.37000084
149,1951-05-29T00:00:00,0.119338579,39.97000122,25.87000084
150,1951-05-30T00:00:00,0.429618865,36.49000168,23.97999954
151,1951-05-31T00:00:00,0.119338579,38.36000061,24.69000053
152,1951-01-06T00:00:00,0,36.25,24.77000046
153,1951-02-06T00:00:00,0,36.86999893,24.60000038
154,1951-03-06T00:00:00,0.179007858,35.79000092,23.42000008
155,1951-04-06T00:00:00,5.013590813,37.70999908,25.5
156,1951-05-06T00:00:00,9.947642326,36.88999939,23.53000069
157,1951-06-06T00:00:00,8.714156151,35.65000153,25.17000008
158,1951-07-06T00:00:00,0,35.79000092,26.05999947
159,1951-08-06T00:00:00,0,37.40000153,26.29999924
160,1951-09-06T00:00:00,0,38.45999908,25.36000061
161,1951-10-06T00:00:00,0,37.52999878,26.39999962
162,1951-11-06T00:00:00,0,36,25.68000031
163,1951-12-06T00:00:00,0,36.54999924,24.67000008
164,1951-06-13T00:00:00,0,35.18000031,25.48999977
165,1951-06-14T00:00:00,0,36.25999832,25.06999969
166,1951-06-15T00:00:00,0,36.68999863,25.46999931
167,1951-06-16T00:00:00,0,35.59000015,24.69000053
168,1951-06-17T00:00:00,0,36.99000168,24.5
169,1951-06-18T00:00:00,1.769242883,35.83000183,24.38999939
170,1951-06-19T00:00:00,0,36.20999908,25.10000038
171,1951-06-20T00:00:00,3.187886953,36.54000092,24.70999908
172,1951-06-21T00:00:00,15.01698875,34.97999954,24.10000038
173,1951-06-22T00:00:00,17.15566635,35.43000031,23.59000015
174,1951-06-23T00:00:00,10.94476604,32.88999939,23.13999939
175,1951-06-24T00:00:00,13.26723385,31.73999977,22.85000038
176,1951-06-25T00:00:00,0,30.43000031,23.20000076
177,1951-06-26T00:00:00,0.976565778,30.87000084,21.70000076
178,1951-06-27T00:00:00,16.56231308,28.70000076,22.04000092
179,1951-06-28T00:00:00,1.67621994,31.35000038,22.71999931
180,1951-06-29T00:00:00,0,33.04000092,23.21999931
181,1951-06-30T00:00:00,0,34.29000092,24.03000069
182,1951-01-07T00:00:00,0,35.27000046,23.88999939
183,1951-02-07T00:00:00,0,35.81000137,24.30999947
184,1951-03-07T00:00:00,1.319895267,36.22999954,24.70000076
